|    | product_name                                                                            | category_name        | subcategory_name                           |   safety_rating |   quality_rating |   total_rating | product_link                                                                                                  | site_name              |
| 10 | Ряженка, массовая доля жира 4% «Коровка из Кореновки»                                   | Молочные продукты    | Ряженка, массовая                          |            0    |            3.55  |           0    | https://rskrf.ru/goods/ryazhenka-massovaya-dolya-zhira-4-korovka-iz-korenovki/                                | https://rskrf.ru       |
| 11 | Кефир с массовой долей жира 3,2% «Буренкино»                                            | Молочные продукты    | Кефир                                      |            0    |            0     |           0    | https://rskrf.ru/goods/kefir-s-massovoy-doley-zhira-3-2-burenkino/                                            | https://rskrf.ru       |
| 12 | Кефир 3,2% массовая доля жира «Молочное царство»                                        | Молочные продукты    | Кефир 3,2%                                 |            0    |            0     |           0    | https://rskrf.ru/goods/kefir-3-2-massovaya-dolya-zhira-molochnoe-tsarstvo/                                    | https://rskrf.ru       |
| 13 | Кефир с массовой долей жира 3,2% «То, что надо!»                                        | Молочные продукты    | Кефир                                      |            0    |            5     |           0    | https://rskrf.ru/goods/kefir-s-massovoy-doley-zhira-3-2-to-chto-nado-/                                        | https://rskrf.ru       |
| 14 | Мороженое пломбир шоколадный «Золотой резерв»                                           | Молочные продукты    | Мороженое пломбир                          |            1.75 |            0     |           0    | https://rskrf.ru/goods/morozhenoe-plombir-shokoladnyy-zolotoy-rezerv/                                         | https://rskrf.ru       |
| 15 | Мороженое пломбир шоколадный Spar                                                       | Молочные продукты    | Мороженое пломбир                          |            1.75 |            0     |           0    | https://rskrf.ru/goods/morozhenoe-plombir-shokoladnyy-spar/                                                   | https://rskrf.ru       |
| 16 | Мороженое пломбир шоколадный в вафельном стаканчике «Вологодский пломбир»               | Молочные продукты    | Мороженое пломбир                          |            5    |            2.95  |           0    | https://rskrf.ru/goods/morozhenoe-plombir-shokoladnyy-v-vafelnom-stakanchike-vologodskiy-plombir/             | https://rskrf.ru       |
| 17 | Мясной продукт категории Б, колбасное изделие вареное, сосиски «Сливочные» «Атрус»      | Колбасные изделия    | Мясной продукт                             |            0    |            2.6   |           0    | https://rskrf.ru/goods/myasnoy-produkt-kategorii-b-kolbasnoe-izdelie-varenoe-sosiski-slivochnye-atrus-/       | https://rskrf.ru       |
| 18 | Творог «Вологжанка» обезжиренный                                                        | Молочные продукты    | Творог «Вологжанка»                        |            0    |            3.438 |           0    | https://rskrf.ru/goods/tvorog-vologzhanka-obezzhirennyy/                                                      | https://rskrf.ru       |
| 19 | Творог обезжиренный «Коровка из Кореновки»                                              | Молочные продукты    | Творог обезжиренный                        |            0    |            5     |           0    | https://rskrf.ru/goods/tvorog-obezzhirennyy-korovka-iz-korenovki/                                             | https://rskrf.ru       |
| 20 | Сосиски сливочные «Мираторг»                                                            | Мясные продукты      | Сосиски и сардельки                        |            2.15 |            2.1   |           1.6  | https://roscontrol.com/product/sosiski-slivochnie-miratorg/                                                   | https://roscontrol.com |
| 21 | Сосиски сливочные «МясновЪ»                                                             | Мясные продукты      | Сосиски и сардельки                        |            3.45 |            2.55  |           2.2  | https://roscontrol.com/product/sosiski-slivochnie-myasnov/                                                    | https://roscontrol.com |
| 22 | Сосиски сливочные «Рублёвский»                                                          | Мясные продукты      | Сосиски и сардельки                        |            3.1  |            2.2   |           1.95 | https://roscontrol.com/product/sosiski-slivochnie-rublvskiy/                                                  | https://roscontrol.com |
| 23 | Сосиски сливочные «Окраина»                                                             | Мясные продукты      | Сосиски и сардельки                        |            3.6  |            2.65  |           2.1  | https://roscontrol.com/product/okraina-slivochnie/                                                            | https://roscontrol.com |
| 24 | Сосиски сливочные «Мясной дом Бородина»                                                 | Мясные продукты      | Сосиски и сардельки                        |            3.4  |            2.95  |           2.25 | https://roscontrol.com/product/sosiski-slivochnie-myasnoy-dom-borodina/                                       | https://roscontrol.com |
| 25 | Сыр a la creme классический, 70%                                                        | Молочные продукты    | Плавленые, мягкие и творожные сыры и кремы |            4.65 |            4.15  |           3.75 | https://roscontrol.com/product/sir-a-la-creme-klassicheskiy-70/                                               | https://roscontrol.com |
| 26 | Батончик Bombbar глазированный «Фисташковая меренга»                                    | Спортивное питание   | Батончики                                  |            4.5  |            5     |           3.7  | https://roscontrol.com/product/batonchik-bombbar-glazirovanniy-fistashkovaya-merenga/                         | https://roscontrol.com |
| 27 | Печенье неглазированное Bombbar «Шоколадный брауни»                                     | Спортивное питание   | Батончики                                  |            4.5  |            5     |           3.8  | https://roscontrol.com/product/pechene-neglazirovannoe-bombbar-shokoladniy-brauni/                            | https://roscontrol.com |
| 28 | Батончик Bombbar неглазированный «Со вкусом миндальной нуги и ванилью»                  | Спортивное питание   | Батончики                                  |            4.15 |            5     |           3.55 | https://roscontrol.com/product/batonchik-bombbar-neglazirovanniy-so-vkusom-mindalnoy-nugi-i-vanilyu/          | https://roscontrol.com |
| 29 | Батончик Bombbar неглазированный «Кокос»                                                | Спортивное питание   | Батончики                                  |            4.5  |            3.95  |           3.3  | https://roscontrol.com/product/batonchik-bombbar-neglazirovanniy-kokos/                                       | https://roscontrol.com |
| 30 | Крем для рук Aura beauty                                                                | Уход за телом        | Кремы для рук                              |            2.9  |            4.3   |           2.85 | https://roscontrol.com/product/krem-dlya-ruk-aura-beauty/                                                     | https://roscontrol.com |
| 31 | Крем для рук «Белоручка»                                                                | Уход за телом        | Кремы для рук                              |            3.3  |            4.55  |           3.05 | https://roscontrol.com/product/krem-dlya-ruk-beloruchka/                                                      | https://roscontrol.com |
| 32 | Крем для рук «Ромашкин луг»                                                             | Уход за телом        | Кремы для рук                              |            2.95 |            4.55  |           3.05 | https://roscontrol.com/product/krem-dlya-ruk-romashkin-lug/                                                   | https://roscontrol.com |
| 33 | Крем для рук «Чистая линия»                                                             | Уход за телом        | Кремы для рук                              |            4.05 |            4.5   |           3.2  | https://roscontrol.com/product/krem-dlya-ruk-chistaya-liniya/                                                 | https://roscontrol.com |
| 34 | Крем для рук Olea URBAN                                                                 | Уход за телом        | Кремы для рук                              |            2.75 |            4.35  |           2.8  | https://roscontrol.com/product/krem-dlya-ruk-olea-urban/                                                      | https://roscontrol.com |
| 35 | Крем для рук «Fito косметик»                                                            | Уход за телом        | Кремы для рук                              |            3.35 |            4.55  |           3    | https://roscontrol.com/product/krem-dlya-ruk-fito-kosmetik/                                                   | https://roscontrol.com |
| 36 | Крем для рук NIVEA                                                                      | Уход за телом        | Кремы для рук                              |            3.35 |            4.4   |           2.95 | https://roscontrol.com/product/krem-dlya-ruk-nivea/                                                           | https://roscontrol.com |
| 37 | Сардина натуральная «Балт-Фиш плюс» с добавлением масла                                 | Рыба и морепродукты  | Рыбные консервы                            |            1.15 |            3.95  |           2.75 | https://roscontrol.com/product/sardina-naturalnaya-balt-fish-plyus-s-dobavleniem-masla/                       | https://roscontrol.com |
| 38 | Сардина натуральная «5 морей» с добавлением масла                                       | Рыба и морепродукты  | Рыбные консервы                            |            3.55 |            4.7   |           3.8  | https://roscontrol.com/product/sardina-naturalnaya-5-morey-s-dobavleniem-masla/                               | https://roscontrol.com |
| 39 | Сардина натуральная «Балтийский невод» с добавлением масла                              | Рыба и морепродукты  | Рыбные консервы                            |            3.6  |            3.35  |           3.4  | https://roscontrol.com/product/sardina-naturalnaya-baltiyskiy-nevod-s-dobavleniem-masla/                      | https://roscontrol.com |
| 40 | Сардина натуральная «Мореслав» с добавлением масла                                      | Рыба и морепродукты  | Рыбные консервы                            |            3.25 |            4.35  |           3.65 | https://roscontrol.com/product/sardina-naturalnaya-moreslav-s-dobavleniem-masla/                              | https://roscontrol.com |
